date,title,amount
2024-12-24,Amazonprimebr,19.90
2024-12-23,Vindi *Capper,39.95
2024-12-23,Mercadolivre*Tapetesm - Parcela 1/7,33.16
2024-12-22,Boali - Santana Park,122.00
2024-12-22,Centauro Ce75 - Parcela 1/5,120.01
2024-12-22,Casas Bahia - Parcela 1/12,632.97
2024-12-22,Lojas Renner Fl - Parcela 1/3,123.20
2024-12-22,Andorinha Hiper,218.00
2024-12-21,Carnes Ultramarino,199.80
2024-12-21,Inovapina,29.94
2024-12-20,Pagamento recebido,-1500.00
2024-12-20,Apple.Com/Bill,21.90
2024-12-20,Pagamento recebido,-1797.71
2024-12-19,Inovapina,47.67
2024-12-19,Pagamento recebido,-4000.00
2024-12-17,Ifood *Ifood,66.00
2024-12-15,Uber Uber *One Help.Ub,19.90
2024-12-14,Farmavan,39.85
2024-12-14,Farmaconde,14.29
2024-12-14,Google Youtube Music,21.90
2024-12-13,Netflix Entretenimento,44.90
2024-12-12,Ess Estacionamentos,59.99
2024-12-12,Mini Extra,55.38
2024-12-12,Burger King,25.90
2024-12-11,Google Tinder,77.90
2024-12-09,sem Parar,78.31
2024-12-09,Pizzaria Francisca Ju,232.78
2024-12-09,Babo Domenico Costelar,132.00
2024-12-09,Pg *Ton Estacionamen,30.00
2024-12-09,Alpen Snack Bar,231.33
2024-12-08,Posto Jardim 10,136.30
2024-12-08,Bodega Beco Ltda,35.00
2024-12-08,Infoco,35.00
2024-12-08,Rest Sitio Cana do Rei,299.50
2024-12-08,Sbheadshop,30.00
2024-12-08,Mp *Plantasquecuram,27.00
2024-12-08,Prainhadobecobare,36.30
2024-12-08,Prainhadobecobare,41.80
2024-12-08,Santa Helena Arte Bras,75.05
2024-12-01,Felipeferreirades,50.00
2024-12-01,Dl*Google Joyrid,16.99
2024-12-01,Wellhub Gympass Br Gym,85.90
2024-12-01,Google Badoo Dating A,24.90
2024-12-01,Casa de Adelia-Restau,53.94
2024-12-01,Google Badoo Dating A,9.90
2024-12-01,Mini Extra,239.31
2024-11-30,Ifood *Ifood,90.00
2024-11-30,Dl*Google Bumble,29.90
2024-11-30,Dl*Google Bumble,29.90
2024-11-29,Pagamento recebido,-6196.17
2024-11-29,Amazon Music,21.90
2024-11-29,Pagamento recebido,-2000.00
2024-11-29,Dl*Google Wm Max,39.90
2024-11-29,Dl*Google Tinder,124.99
2024-11-27,Eagles Pinturas Esp,4500.00
2024-11-27,Pop 26nov 07h34min,25.80
2024-11-26,Trimais Supermercados,178.32
2024-11-26,Amazon Prime Aluguel,9.90
2024-11-26,Promofarma,97.19
2024-11-25,Inovapina,26.99
2024-11-25,Inovapina,18.48
2024-11-25,Inovapina,17.58
2024-11-24,Mercadolivre*Ebazarco - Parcela 2/10,31.17
2024-11-24,Alura - Parcela 8/12,109.00
2024-11-24,Pneustore Cpx - Parcela 2/6,372.76
2024-11-24,Hub Fin*Magazineluiza - Parcela 5/10,369.90
2024-11-24,Chilli Beans - Parcela 4/8,101.74
2024-11-24,Amazonas Leste - Parcela 6/10,243.00
2024-11-24,Insider Come*Insiderst - Parcela 2/3,118.91
2024-11-24,Ifd*Sgm Delivery,123.79
2024-11-24,Amazonprimebr,19.90
