date,title,amount
2025-06-23,Vindi *Capper,39.95
2025-06-23,Mercadopago *Idealcit - Parcela 1/12,133.20
2025-06-23,Mercadopago *Freeforc - Parcela 1/5,89.98
2025-06-22,Pao de Acucar-2380,82.00
2025-06-22,Welton Barros Silva,70.00
2025-06-22,Farma Conde,3.00
2025-06-22,Felipeferreirades,60.00
2025-06-20,Andorinha Hiper,39.90
2025-06-20,Apple.Com/Bill,21.90
2025-06-19,Buzzini Comercio de Al,35.90
2025-06-19,Andorinha Hiper,487.48
2025-06-19,Buzzini Comercio de Al,38.90
2025-06-18,Mp *Aliexpress - Parcela 1/2,34.56
2025-06-18,Casa de Adelia-Restau,51.75
2025-06-16,Gigantedaserra,73.48
2025-06-16,51.510.029 Felipe Mat,6.50
2025-06-16,Mercadolivre*Amferram,81.92
2025-06-15,Marcolas Bike Shop Bic - Parcela 1/3,79.34
2025-06-15,Casa de Adelia-Restau,60.85
2025-06-15,Ifd*Ifood Club,5.95
2025-06-15,Jorgeakiofukumoto,8.00
2025-06-15,Marcolas Bike Shop Bic,99.00
2025-06-15,Ifd*Poke You Restauran,76.48
2025-06-14,Google Youtube Music,21.90
2025-06-13,Spinola Supermercado,34.08
2025-06-13,Pao de Acucar-2380,86.15
2025-06-10,Mercadolivre*Nrutilid - Parcela 1/7,54.90
2025-06-09,Decathlon - Parcela 1/12,164.08
2025-06-09,sem Parar,119.59
2025-06-09,Andorinha Hiper,329.43
2025-06-09,Buzzini Comercio de Al,48.40
2025-06-09,Buzzini Comercio de Al,33.90
2025-06-08,Uber* Trip,32.02
2025-06-08,Netflix.Com,59.90
2025-06-08,Pedal Place - Parcela 1/12,535.25
2025-06-08,Casa de Adelia-Restau,64.00
2025-06-07,Mp *Growthsupplements - Parcela 1/2,53.05
2025-06-06,Mercadolivre*Izuecomm,299.99
2025-06-06,Mp *Growthsupplements - Parcela 1/2,70.69
2025-06-03,Pagamento recebido,-2600.00
2025-06-02,Inovapina,6.99
2025-06-02,Brs*Sheincom,138.61
2025-06-02,Farmaconde,61.34
2025-06-02,Pp *Salvino Sto - Parcela 1/10,45.64
2025-06-01,Ifd*Parada do Sushi,61.95
2025-06-01,Francinedasilva,32.00
2025-06-01,Casa de Adelia-Restau,66.69
2025-05-31,Wellhub Gympass Br Gym,89.90
2025-05-31,Posto Papacidero,203.04
2025-05-31,Rodosnack Gg,7.50
2025-05-30,Mini Extra,168.10
2025-05-30,Pagamento recebido,-2882.63
2025-05-30,Pg *Betterman Comercio - Parcela 1/3,128.94
2025-05-29,Amazon Music,21.90
2025-05-29,Google Wm Max Llc,39.90
2025-05-29,Google Disney Mobile,62.90
2025-05-29,Ifd*Vr Restaurante,55.99
2025-05-29,Pneustore Cpx - Parcela 1/6,392.73
2025-05-27,Andorinha Hiper,100.74
2025-05-26,Panificadora Panicente,68.00
2025-05-26,Ademilsonbazzo,25.00
2025-05-26,Arletealvesmoreir,30.00
2025-05-26,Sukiya,89.80
2025-05-26,Rest Frangoassado Cas,7.90
2025-05-25,Casas Bahia - Parcela 7/12,632.88
2025-05-25,Mercadolivre*Berveenx - Parcela 2/2,60.08
2025-05-25,Mercadolivre*Ravennaf - Parcela 3/10,76.99
2025-05-25,Maria Cristina Correia,38.00
2025-05-25,Mercadolivre*Ebazarco - Parcela 2/10,600.02
2025-05-25,Sr Caipira,104.39
2025-05-25,Zp*Barbearia Pierre,40.00
2025-05-25,Oxxo Barbar,29.99
2025-05-25,Amazonas Leste - Parcela 6/10,360.00
2025-05-25,P R Carvalho Filho Bar,20.00
2025-05-25,Mercadolivre*Tudustor - Parcela 2/2,33.12
2025-05-25,Mp *Softroniccomercia - Parcela 2/2,33.40
2025-05-25,Oxxo Della,36.35
2025-05-25,Amazonprimebr,19.90
2025-05-25,Ln Tennis Station Cent - Parcela 3/6,96.66
2025-05-25,Prcarvalhofilho,18.00
2025-05-25,Lojas Renner Fl - Parcela 3/3,63.26
