date,title,amount
2025-03-24,Estancia da Estacao,28.00
2025-03-24,4everconsultoria,129.70
2025-03-24,Posto Farol 48 da Cast,14.49
2025-03-24,Amazonprimebr,19.90
2025-03-24,Posto Castelinho Sor,230.04
2025-03-24,Estancia da Estacao,14.00
2025-03-24,Estancia da Estacao,24.00
2025-03-23,Vindi *Capper,39.95
2025-03-23,Zig*Led Lounge Bar,18.00
2025-03-23,Zig*Led Lounge Bar,18.00
2025-03-23,Zig*Led Lounge Bar,18.00
2025-03-23,Sitiosempressatur,55.00
2025-03-23,Lago dos Sonhos,160.79
2025-03-23,Teles Calcados,40.00
2025-03-23,Assai Atacadista Lj263,82.99
2025-03-23,Nashi*Restaurante,53.40
2025-03-23,Zig*Led Lounge Bar,32.00
2025-03-22,Mini Extra,113.24
2025-03-22,Zig*Led Lounge Bar,42.00
2025-03-22,Zig*Ledloungebar,36.00
2025-03-22,Trimais Supermercados,313.37
2025-03-22,Rede Papa,142.80
2025-03-22,Zig*Led Lounge Bar,30.00
2025-03-20,Apple.Com/Bill,21.90
2025-03-19,Amazon Prime Aluguel,14.90
2025-03-17,Borracharia da Ponte P,100.00
2025-03-17,Boomagen,26.00
2025-03-17,Boomagen,12.00
2025-03-17,Boomagen,34.00
2025-03-17,Burger King,67.80
2025-03-17,Boomagen,26.00
2025-03-16,Prcarvalhofilho,18.00
2025-03-16,Prcarvalhofilho,32.00
2025-03-16,Rede Papa,11.47
2025-03-16,Farmamed,9.80
2025-03-16,Prcarvalhofilho,24.00
2025-03-16,Oxxo Rospet,14.99
2025-03-16,Felipeferreirades,60.00
2025-03-16,sem Parar * Abastece,177.90
2025-03-15,Uber Uber *One Help.Ub,19.90
2025-03-14,Pagamento recebido,-1000.00
2025-03-14,Pagamento recebido,-3500.00
2025-03-14,Google Youtube Music,21.90
2025-03-10,sem Parar,612.21
2025-03-10,Braz Leme Point,61.73
2025-03-09,Brassbrew Cervejaria L,36.00
2025-03-09,Atlantico,20.48
2025-03-09,Brassbrew Cervejaria L,40.00
2025-03-09,Adrianoborgesde,16.00
2025-03-09,Brassbrew Cervejaria L,32.00
2025-03-09,Gramadopostode,142.45
2025-03-09,Top Gas,11.90
2025-03-09,Sbheadshop,35.00
2025-03-09,Autopostohldlltda,60.48
2025-03-09,Brassbrew Cervejaria L,88.00
2025-03-09,Brassbrew Cervejaria L,30.00
2025-03-09,Campo Arte,15.00
2025-03-08,Netflix.Com,59.90
2025-03-05,Seven Pratapolis,125.05
2025-03-05,Padaria Sao Bento,12.00
2025-03-04,Pousada e Campimg do C,158.00
2025-03-04,Lanchonete,13.00
2025-03-04,Supermercado Uniao,36.95
2025-03-03,Pizzaria Jefferson,170.60
2025-03-03,Pousada e Campimg do C,120.00
2025-03-03,Jr Auto Posto,209.36
2025-03-03,Quintaldacanastra,13.00
2025-03-03,Quintaldacanastra,30.00
2025-03-03,Quintaldacanastra,26.00
2025-03-02,Posto Beira Rio I,200.00
2025-03-02,Lagoa Azul,60.00
2025-03-02,Elisangela Maria da Si,30.00
2025-03-02,Padaria Tagua,30.00
2025-03-02,Posto Lagoa,125.23
2025-03-02,Stalo Supermercados Lo,109.40
2025-03-02,55.497.319 Rosana Pau,80.00
2025-03-02,Sao Joao Supermercados,82.55
2025-03-02,Autopostorvm,212.00
2025-03-01,Google Badoo,24.90
2025-03-01,Google Wm Max Llc,39.90
2025-03-01,Airbnb * Hmscfhzc5j,171.81
2025-03-01,Wellhub Gympass Br Gym,89.90
2025-03-01,Mini Extra,167.16
2025-03-01,Google Joyride Gmbh,16.99
2025-03-01,Google Disney Mobile,62.90
2025-03-01,sem Parar * Abastece,234.48
2025-03-01,Posto Tigrao,51.79
2025-03-01,Amazon Music,21.90
2025-02-28,"Estorno de ""Hotel At Booking.Com""",-1674.00
2025-02-28,Pagamento recebido,-500.00
2025-02-28,Pagamento recebido,-2479.09
2025-02-28,Claudia,70.00
2025-02-28,Lojas Renner Fl - Parcela 1/3,271.70
2025-02-28,Drogasil3486,25.38
2025-02-28,Decathlon - Parcela 1/3,229.99
2025-02-28,Drogaria Sao Paulo,60.98
2025-02-28,Chelle Beans Senter No - Parcela 1/5,80.02
2025-02-27,Hotel At Booking.Com,1674.00
2025-02-26,Mini Extra,103.80
2025-02-25,Mercadolivre*Mercadol,51.28
2025-02-25,Mp *Growthsupplements - Parcela 1/6,11.24
2025-02-25,Oficial*Oficialfarma,185.76
2025-02-24,Choppdortmund,25.00
2025-02-24,Shell Triunfo 24 Hs,290.01
2025-02-24,Bb Dog Itavuvu,50.00
2025-02-24,Choppdortmund,30.00
2025-02-24,Chateau Fast Food,156.00
2025-02-24,Dalben,180.23
2025-02-24,Mp *Padjoaquimegi,19.00
2025-02-24,Amazonprimebr,19.90
2025-02-24,Choppdortmund,30.00
2025-02-24,Choppdortmund,25.00
2025-02-24,Eduardo Mozachi Salzan,8.00
2025-02-23,Felipeferreirades,60.00
2025-02-23,Inovapina,15.99
2025-02-23,Jmw Bebidas,59.92
2025-02-23,Bar da Cachoeira,77.18
2025-02-23,Rodosnack Gg,19.80
2025-02-23,Vindi *Capper,39.95
2025-02-23,Ifd*Tarbil Comercio de,105.70
2025-02-23,Amazon Prime Aluguel,29.90
2025-02-22,Casas Bahia - Parcela 4/12,632.88
2025-02-22,Pneustore Cpx - Parcela 5/6,372.76
2025-02-22,Mercadolivre*Megabyte - Parcela 2/2,153.09
2025-02-22,Amazonas Leste - Parcela 9/10,243.00
2025-02-22,Inovapina,13.99
2025-02-22,Mercadolivre*Ebazarco - Parcela 5/10,31.17
2025-02-22,Hub Fin*Magazineluiza - Parcela 8/10,369.90
2025-02-22,Amazonas Leste - Parcela 3/10,360.00
2025-02-22,Alura - Parcela 11/12,109.00
2025-02-22,Mercadocar - Parcela 2/2,64.75
2025-02-22,Mercadolivre*Tapetesm - Parcela 4/7,33.14
2025-02-22,Oficial*Oficialfarma - Parcela 2/2,75.18
2025-02-22,Mercadocar - Parcela 2/2,117.95
2025-02-22,Centauro Ce75 - Parcela 4/5,119.99
2025-02-22,Chilli Beans - Parcela 7/8,101.74
