date,title,amount
2024-11-23,Mercadolivre*Ebazarco - Parcela 1/10,31.22
2024-11-23,Vindi *Capper,39.95
2024-11-20,Andorinha Hiper,272.41
2024-11-20,Eagles Pinturas Esp,1874.00
2024-11-19,Esquina Retrochop,8.90
2024-11-18,Uber* Trip,16.34
2024-11-17,Ifd*Sajiki Mandaqui de,81.48
2024-11-16,Miles Wine Bar,482.16
2024-11-16,Frango Assado Posto Ca,118.58
2024-11-16,Rest Frangoassado Caj,49.37
2024-11-16,54224707mariajose,53.00
2024-11-16,de Vo Comercio de Ali,52.20
2024-11-15,Uber Uber *One Help.Ub,19.90
2024-11-14,Google Youtube Music,21.90
2024-11-13,Netflix Entretenimento,30.90
2024-11-13,Drogasil3486,28.66
2024-11-12,Inovapina,12.99
2024-11-12,Ifood *Ifood,47.00
2024-11-11,Google Tinder,77.90
2024-11-11,Ifd*Tarbil Comercio de,130.70
2024-11-10,Google Bumble Dating,0.90
2024-11-09,Google Tinder Dating,124.99
2024-11-09,sem Parar,60.91
2024-11-06,Insider Come*Insiderst - Parcela 1/3,118.91
2024-11-06,Pneustore Cpx - Parcela 1/6,372.76
2024-11-03,Ifood *Ifood,143.90
2024-11-01,Circuit Park Estaciona,10.00
2024-11-01,Fhr Restaurante Ltda e,18.30
2024-11-01,Vinil Tambore,38.00
2024-10-31,Google Joyride Gmbh,16.99
2024-10-31,Gramadopostode,249.86
2024-10-31,Felipeferreirades,50.00
2024-10-31,Pagamento recebido,-1277.67
2024-10-29,Google Wm Max Llc,39.90
2024-10-29,Amazon Music,21.90
2024-10-28,Andorinha Hiper,456.35
2024-10-28,Sabor da Vovo,63.61
2024-10-28,Ifd*Sgm Delivery,115.79
2024-10-26,Pagamento recebido,-4100.00
2024-10-25,Amazonas Leste - Parcela 5/10,243.00
2024-10-25,Chilli Beans - Parcela 3/8,101.74
2024-10-25,Alura - Parcela 7/12,109.00
2024-10-25,Amazonprimebr,19.90
2024-10-25,Hub Fin*Magazineluiza - Parcela 4/10,369.90
