date,title,amount
2025-04-23,Quiosque,20.00
2025-04-23,Quiosque,15.00
2025-04-23,San Telmo,131.78
2025-04-23,Rodrigo,60.00
2025-04-23,Panificadorae,73.19
2025-04-23,X Calota Balneario Cam,53.40
2025-04-23,Vindi *Capper,39.95
2025-04-23,Google Avast Software,40.00
2025-04-23,Sou Funcional,86.00
2025-04-22,Ticketmais,40.00
2025-04-22,Ticketmais,32.00
2025-04-22,Uber Uber *Trip Help.U,10.06
2025-04-22,Uber* Trip,10.80
2025-04-22,Posto Fl,20.98
2025-04-22,Uber Uber *Trip Help.U,7.80
2025-04-22,Uber Uber *Trip Help.U,7.24
2025-04-22,Ticketmais,12.00
2025-04-21,Luizapaivadelima,60.00
2025-04-21,Brava Conveniencia,13.00
2025-04-21,Havan Bal Camboriu Cen - Parcela 1/2,49.99
2025-04-21,Ticketmais,12.00
2025-04-21,Brava Conveniencia,21.50
2025-04-21,Ultrapostobeira,7.00
2025-04-21,Elias Ladislau Cardoso,35.00
2025-04-21,Supermercado Chico,72.78
2025-04-21,Claudio Lazarin,42.00
2025-04-21,Deboracristinagom,15.00
2025-04-21,Brava Conveniencia,2.50
2025-04-21,Subway Bc Barra Sul,59.00
2025-04-21,Brava Conveniencia,25.00
2025-04-21,Ponto 128 da Le,60.00
2025-04-21,Brava Conveniencia,13.00
2025-04-21,Quiosquinhoba,8.00
2025-04-20,Airbnb * Hmb2ssj998,468.40
2025-04-20,Restaurante Querubim,90.50
2025-04-20,"Estorno de ""Airbnb * Hmded4pzep""",-330.81
2025-04-20,Luana,40.00
2025-04-20,Sacolao Sabores da Te,31.00
2025-04-20,Apple.Com/Bill,21.90
2025-04-20,Airbnb * Hmded4pzep,330.81
2025-04-20,Acasa Objeto e Decorac,149.00
2025-04-20,Quiosquedajoaca,15.00
2025-04-20,Ticketmais,20.00
2025-04-20,Karina Carla de Carval,50.00
2025-04-20,Florivento,80.00
2025-04-19,Ticketmais,20.00
2025-04-19,Atoanajoa,133.10
2025-04-19,Centro Bugio,20.00
2025-04-19,Hortifrutijean,25.98
2025-04-19,Stefanicesarda,25.00
2025-04-19,Centro Bugio,12.00
2025-04-19,Mpk Joaquina,21.00
2025-04-19,Panificadorae,15.00
2025-04-19,Kinuca The Imbica,14.00
2025-04-19,Art Coffe &Drinks,21.00
2025-04-19,Tenda Brecho e Bar,20.00
2025-04-19,Barra Co,25.00
2025-04-19,Centro Bugio,50.00
2025-04-19,Centro Bugio,20.00
2025-04-19,Kinuca The Imbica,6.00
2025-04-18,Sombrero,15.00
2025-04-18,Barra Beach,15.00
2025-04-18,Choripandashopia,10.00
2025-04-18,Mercado Juninho,11.50
2025-04-18,Suculentas,26.00
2025-04-18,Beer Praia,20.00
2025-04-18,Suculentassabores,13.00
2025-04-18,Diego Agustin Machao,30.00
2025-04-18,Botiquimdagrande,13.00
2025-04-18,Bar Praia Grande,18.00
2025-04-18,Airbnb * Hmkjajf8km,573.38
2025-04-17,Supermercados Koch,69.38
2025-04-17,Petisqueira,20.00
2025-04-17,Pousadadaluana,5.00
2025-04-17,Luanamariade,30.00
2025-04-17,Beto Carrero World,39.00
2025-04-17,Beto Carrero World,32.00
2025-04-16,Supermercados Koch,325.45
2025-04-16,Posto Z5,76.40
2025-04-16,Guaira Loterias,48.64
2025-04-16,Autopostom6ltda,34.95
2025-04-15,41 Brooklyn,18.00
2025-04-15,Beto Carrero*Beto Carr,259.80
2025-04-15,Uber Uber *One Help.Ub,19.90
2025-04-15,41 Brooklyn,36.00
2025-04-15,Vinicola Durigan,25.00
2025-04-15,41 Brooklyn,36.00
2025-04-15,41 Brooklyn,25.00
2025-04-15,Irmaos Madalosso,8.00
2025-04-15,Berlinf*Curitiba Turis,20.00
2025-04-15,Hard Rock Curitiba,194.45
2025-04-14,Google Youtube Music,21.90
2025-04-14,Pelanda Conveniencia,40.96
2025-04-14,Marcoscesarafonso,24.00
2025-04-14,Soy Loco Por Ti Gastro,18.00
2025-04-14,Soy Loco Por Ti Gastro,5.00
2025-04-13,Chori Getulio,24.00
2025-04-13,Chori Getulio,5.00
2025-04-13,Purple Blues Pub,12.00
2025-04-13,Purple Blues Pub,43.00
2025-04-13,Purple Blues Pub,25.00
2025-04-13,Blood Bar,111.00
2025-04-13,la Santa.,12.00
2025-04-13,Purple Blues Pub,20.00
2025-04-13,Purple Blues Pub,30.00
2025-04-13,Purple Blues Pub,25.00
2025-04-13,Badasilvalanchone,16.00
2025-04-13,Carnivore Steakhouse,43.90
2025-04-13,Guilherme Inacio Morei,35.00
2025-04-12,Casa Bar,24.00
2025-04-12,Curitiba Sunset,26.00
2025-04-12,Quintal da Maria,30.00
2025-04-12,Na,7.07
2025-04-12,Margaretebalparda,31.50
2025-04-12,Quintal da Maria,16.00
2025-04-12,Quintal da Maria,25.00
2025-04-12,Valmir Verus Restaura,24.00
2025-04-12,Casa Bar,18.00
2025-04-12,Quintal da Maria,20.00
2025-04-12,Curitiba Sunset,26.00
2025-04-11,Baked Potato C Norte,42.90
2025-04-11,Felipeferreirades,60.00
