date,title,amount
2025-04-11,Ln Tennis Station Cent - Parcela 1/6,96.68
2025-04-11,Tammy Julio,65.00
2025-04-11,Felipeferreirades,30.00
2025-04-11,Rodosnack Gg,17.00
2025-04-10,Airbnb * Hmchpm34xx,229.08
2025-04-10,Epar Estacionamentos,19.00
2025-04-10,Giovana Rabelo Souza,45.00
2025-04-10,Agua de Coco Horto,10.00
2025-04-10,Lojas Renner Fl - Parcela 1/3,63.28
2025-04-10,Hortifruti e Supermer,69.37
2025-04-09,Mp *Growthsupplements,57.54
2025-04-09,Pagamento recebido,-3200.00
2025-04-09,sem Parar,313.58
2025-04-08,Inovapina,5.19
2025-04-08,Netflix.Com,59.90
2025-04-07,P R Carvalho Filho Bar,26.00
2025-04-07,Pointdoalemao,13.00
2025-04-07,Prcarvalhofilho,18.00
2025-04-07,Auto Posto 3 Meninas,261.62
2025-04-07,Santorini Bar,186.45
2025-04-06,Pontal Loja,49.99
2025-04-06,Hs Esplanada Shopping - Parcela 1/2,110.00
2025-04-06,Cea Sor 175 Ecpc - Parcela 1/2,80.00
2025-04-06,Zig*Amiiici,82.90
2025-04-06,Jackpub,177.38
2025-04-06,Assai Atacadista Lj263,61.01
2025-04-06,Riachuelo 167 Mg Bh Mi - Parcela 1/2,70.00
2025-04-06,Bubble Tea Sorocaba,22.99
2025-04-06,Bb Dog Itavuvu,62.00
2025-04-06,Lojas Renner Fl - Parcela 1/2,79.95
2025-04-05,Prcarvalhofilho,10.00
2025-04-05,Mini Extra,40.07
2025-04-05,Little Paul,30.00
2025-04-05,Prcarvalhofilho,10.00
2025-04-04,Andorinha Hiper,281.33
2025-04-04,Mp *Guicheweb,345.00
2025-04-02,Mercadolivre*Ravennaf - Parcela 1/10,76.99
2025-03-31,Wellhub Gympass Br Gym,89.90
2025-03-30,Zig*Cremaclub,237.00
2025-03-30,Jaques Cafe,84.92
2025-03-30,Mini Extra,170.42
2025-03-30,Serras Cafe,13.00
2025-03-30,Estacionamento,30.00
2025-03-30,Cozinhaasveia,232.00
2025-03-30,Mariaelienemacedo,25.00
2025-03-29,Trimais Supermercados,229.66
2025-03-29,Google Disney Mobile,62.90
2025-03-29,Google Wm Max Llc,39.90
2025-03-29,Amazon Music,21.90
2025-03-28,Desconto Antecipação Mercadolivre*Ebazarco,-2.58
2025-03-28,Desconto Antecipação Mp *Growthsupplements,-0.93
2025-03-28,Mercadolivre*Tapetesm - Parcela 6/7,33.14
2025-03-28,Mercadolivre*Tapetesm - Parcela 7/7,33.14
2025-03-28,Pagamento recebido,-487.00
2025-03-28,Pagamento recebido,-3116.67
2025-03-28,Mercadolivre*Ebazarco - Parcela 7/10,31.17
2025-03-28,Mercadolivre*Ebazarco - Parcela 9/10,31.17
2025-03-28,Mercadolivre*Ebazarco - Parcela 8/10,31.17
2025-03-28,Mercadolivre*Ebazarco - Parcela 10/10,31.17
2025-03-28,Desconto Antecipação Chelle Beans Senter No,-3.98
2025-03-28,Desconto Antecipação Mercadolivre*Tapetesm,-0.83
2025-03-28,Mp *Growthsupplements - Parcela 6/6,11.24
2025-03-28,Mp *Growthsupplements - Parcela 5/6,11.24
2025-03-28,Mp *Growthsupplements - Parcela 3/6,11.24
2025-03-28,Mp *Growthsupplements - Parcela 4/6,11.24
2025-03-28,Chelle Beans Senter No - Parcela 5/5,79.99
2025-03-28,Chelle Beans Senter No - Parcela 3/5,79.99
2025-03-28,Chelle Beans Senter No - Parcela 4/5,79.99
2025-03-28,Pagamento recebido,-6464.52
2025-03-27,Inovapina,21.69
2025-03-25,Casas Bahia - Parcela 5/12,632.88
2025-03-25,Amazonas Leste - Parcela 10/10,243.00
2025-03-25,Amazonas Leste - Parcela 4/10,360.00
2025-03-25,Alura - Parcela 12/12,109.00
2025-03-25,Mercadolivre*Tapetesm - Parcela 5/7,33.14
2025-03-25,Chilli Beans - Parcela 8/8,101.74
2025-03-25,Pneustore Cpx - Parcela 6/6,372.76
2025-03-25,Mercadolivre*Ebazarco - Parcela 6/10,31.17
2025-03-25,Inovapina,23.78
2025-03-25,Hub Fin*Magazineluiza - Parcela 9/10,369.90
2025-03-25,Lojas Renner Fl - Parcela 2/3,271.70
2025-03-25,Mp *Growthsupplements - Parcela 2/6,11.24
2025-03-25,Centauro Ce75 - Parcela 5/5,119.99
2025-03-25,Decathlon - Parcela 2/3,229.99
2025-03-25,Chelle Beans Senter No - Parcela 2/5,79.99
