date,title,amount
2025-02-21,Pagamento recebido,-1000.00
2025-02-20,Apple.Com/Bill,21.90
2025-02-19,Andorinha Hiper,300.00
2025-02-19,Inovapina,15.99
2025-02-18,Mercadolivre*Megabyte - Parcela 1/2,153.10
2025-02-17,Autopostonovoluz,289.80
2025-02-17,Lanchesdoremiltda,35.00
2025-02-17,Oxxo Alberto Savoy,3.99
2025-02-16,G & G Auto Posto,137.22
2025-02-16,Jmw Bebidas,12.90
2025-02-16,Rodosnack Gg,15.00
2025-02-16,Mercadocar - Parcela 1/2,117.95
2025-02-16,Deck,182.60
2025-02-16,Mini Extra,109.22
2025-02-16,Norteplac Madeiras e F,14.40
2025-02-15,Uber Uber *One Help.Ub,19.90
2025-02-14,Pagamento recebido,-4000.00
2025-02-14,Google Youtube Music,21.90
2025-02-14,Claudia,65.00
2025-02-12,Oficial*Oficialfarma - Parcela 1/2,75.19
2025-02-12,Mercadolivre*Firstore,43.70
2025-02-11,Condesso Emp Hotelei,149.00
2025-02-11,Google Tinder,77.90
2025-02-11,Inovapina,16.18
2025-02-10,Rclservicos,35.00
2025-02-10,Escort Auto Posto,25.00
2025-02-10,V L Gimenez Calheiros,92.45
2025-02-10,Quiosque do Miro,35.00
2025-02-10,Alecrim Ilhabela Resta,27.64
2025-02-10,Ohio Drink Store,32.00
2025-02-10,Auto Posto Joti,241.28
2025-02-10,Mercadinho Costa Norte,19.98
2025-02-10,Manoel C.S Barbosa,157.74
2025-02-10,Fazendao,87.00
2025-02-10,Mp *Chur,15.00
2025-02-09,A F T Restaurante,75.50
2025-02-09,Airbnb * Hmwr5maf38,286.34
2025-02-09,Barrel Surf Shop,26.49
2025-02-09,Drogaria Sao Paulo,136.94
2025-02-09,Barrel Surf Shop,11.99
2025-02-09,Aline Cerqueira Santo,80.00
2025-02-09,sem Parar,256.15
2025-02-09,Giovanemamprinmaz,29.70
2025-02-09,Cheirin Bao,6.50
2025-02-09,Centroautomotivo,155.43
2025-02-09,Padaria e Lanchonete,77.96
2025-02-09,Rochinha Boicucanga,26.00
2025-02-09,Oxxo Alberto Savoy,26.97
2025-02-08,Netflix.Com,59.90
2025-02-07,Ifood *Ifood,42.00
2025-02-03,Condesso Emp Hotelei,7.00
2025-02-03,Elizabethschmitz,32.00
2025-02-03,Portaldopeixe,40.00
2025-02-03,Condesso Emp Hotelei,169.00
2025-02-03,Alpen Snack Bar,33.00
2025-02-03,Estacionamento,30.00
2025-02-03,Ssbar,157.00
2025-02-03,Tasquinhadaserra,46.20
2025-02-03,Oxxo Bernacedo,3.89
2025-02-03,Allanmassulafortu,85.00
2025-02-02,Miles Bar,181.44
2025-02-02,Drogaria Sao Paulo,18.04
2025-02-02,Casa de Adelia-Restau,56.19
2025-02-02,Zig*Arcos,42.94
2025-02-02,Mini Extra,124.43
2025-02-02,Mercadocar - Parcela 1/2,64.75
2025-02-02,Rede Papa,191.95
2025-02-02,Farmaconde,17.94
2025-02-02,Zig*Arcos,124.30
2025-02-01,Felipeferreirades,60.00
2025-02-01,Google Disney Mobile,62.90
2025-01-31,Google Joyride Gmbh,16.99
2025-01-31,Wellhub Gympass Br Gym,85.90
2025-01-31,Google Badoo,24.90
2025-01-30,Drogasil3486,17.51
2025-01-30,Google Bumble,29.90
2025-01-30,Pagamento recebido,-2000.00
2025-01-30,Raia340,30.50
2025-01-30,Trimais Supermercados,219.82
2025-01-29,Google Wm Max Llc,39.90
2025-01-29,Amazon Music,21.90
2025-01-27,Rescam Lanchonete,188.10
2025-01-27,Cicerofranciscode,73.70
2025-01-27,Rescam Lanchonete,110.00
2025-01-27,Chateau Fast Food,151.00
2025-01-26,Marcelo Martinelli Cer,50.00
2025-01-26,Ruggiero Ramos Comerc,132.40
2025-01-26,Google Tinder Dating,124.99
2025-01-26,Berlinf*Auto Posto Lei,99.03
2025-01-26,Felipepinheiro,74.00
2025-01-26,Pagamento recebido,-1889.89
2025-01-25,Casas Bahia - Parcela 3/12,632.88
2025-01-25,Pneustore Cpx - Parcela 4/6,372.76
2025-01-25,Lojas Renner Fl - Parcela 3/3,123.20
2025-01-25,Amazonas Leste - Parcela 8/10,243.00
2025-01-25,Mercadolivre*Ebazarco - Parcela 4/10,31.17
2025-01-25,Hub Fin*Magazineluiza - Parcela 7/10,369.90
2025-01-25,Amazonas Leste - Parcela 2/10,360.00
2025-01-25,Alura - Parcela 10/12,109.00
2025-01-25,Mercadolivre*Tapetesm - Parcela 3/7,33.14
2025-01-25,Centauro Ce75 - Parcela 3/5,119.99
2025-01-25,Chilli Beans - Parcela 6/8,101.74
