date,title,amount
2025-07-24,Amazonprimebr,19.90
2025-07-23,Swift Horto,89.70
2025-07-23,Vindi *Capper,39.95
2025-07-22,Assinatura Max desconto Nubank,9.90
2025-07-20,Amazon Prime Canais,27.90
2025-07-20,Apple.Com/Bill,21.90
2025-07-19,Swift Horto,155.48
2025-07-15,Ifd*Ifood Club,5.95
2025-07-14,Swift Horto,197.90
2025-07-14,Google Youtube Music,21.90
2025-07-12,Vindi *Investidor10 - Parcela 1/12,19.90
2025-07-10,Mercadopago *Xpink,23.99
2025-07-09,sem Parar,55.90
2025-07-08,Netflix.Com,59.90
2025-07-07,Andorinha Hiper,99.47
2025-07-07,Sabor da Vovo,51.91
2025-07-06,Casa de Adelia-Restau,60.00
2025-07-05,Gramadopostode,100.00
2025-07-05,Casa de Adelia-Restau,52.75
2025-07-01,Wellhub Gympass Br Gym,89.90
2025-06-30,O Filhotao,68.90
2025-06-30,Padoca Ultramarino,16.00
2025-06-30,Vera Doces,7.90
2025-06-30,Pagamento recebido,-5255.97
2025-06-30,Amazon Prime Canais,19.90
2025-06-29,Ifd*54406237 Manoel Le,99.69
2025-06-29,Amazon Music,21.90
2025-06-29,Point Santana,5.90
2025-06-29,Marcolas Bike Shop Bic,50.00
2025-06-29,Restaurante e Lanchone,9.00
2025-06-29,Casa de Adelia-Restau,57.70
2025-06-29,Google Wm Max Llc,39.90
2025-06-26,Uber Uber *One Help.Ub,19.90
2025-06-26,Mercadopago *Lasvixel - Parcela 1/2,294.73
2025-06-25,Mister Sheik Andorinha,47.01
2025-06-25,Andorinha Hiper,33.82
2025-06-25,Pp *Growthsuppl,144.63
2025-06-25,Amazonprimebr,19.90
2025-06-24,Marcolas Bike Shop Bic - Parcela 2/3,79.33
2025-06-24,Casas Bahia - Parcela 8/12,632.88
2025-06-24,Mercadolivre*Ebazarco - Parcela 3/10,600.02
2025-06-24,Mp *Growthsupplements - Parcela 2/2,70.68
2025-06-24,Mp *Aliexpress - Parcela 2/2,34.55
2025-06-24,Amazonas Leste - Parcela 7/10,360.00
2025-06-24,Decathlon - Parcela 2/12,163.98
2025-06-24,Mercadolivre*Nrutilid - Parcela 2/7,54.90
2025-06-24,Mercadopago *Idealcit - Parcela 2/12,133.18
2025-06-24,Mercadolivre*Ravennaf - Parcela 4/10,76.99
2025-06-24,Pedal Place - Parcela 2/12,535.25
2025-06-24,Ln Tennis Station Cent - Parcela 4/6,96.66
2025-06-24,Pp *Salvino Sto - Parcela 2/10,45.61
2025-06-24,Mp *Growthsupplements - Parcela 2/2,53.04
2025-06-24,Pneustore Cpx - Parcela 2/6,392.70
2025-06-24,Mercadopago *Freeforc - Parcela 2/5,89.98
2025-06-24,Pg *Betterman Comercio - Parcela 2/3,128.93
