date,title,amount
2025-05-24,Rede Papa,178.33
2025-05-23,Vindi *Capper,39.95
2025-05-22,Inovapina,21.99
2025-05-21,Uber Uber *One Help.Ub,19.90
2025-05-20,Sgm Delivery,54.89
2025-05-20,Apple.Com/Bill,21.90
2025-05-20,Casa da Esfiha,58.20
2025-05-19,Chale das Flores,57.42
2025-05-19,Frogpay*Np Treinamento,79.00
2025-05-19,Inovapina,28.14
2025-05-18,Assai Atacadista Lj64,319.92
2025-05-18,Assai Atacadista Lj64,14.00
2025-05-18,Zig*Balsa Bar,195.00
2025-05-18,Ghassan Wadih El Khour,16.00
2025-05-18,Burger King,57.80
2025-05-18,Mp *Mikaely,13.00
2025-05-18,Verdant Sao Paulo,10.00
2025-05-18,Charles Dogs,65.50
2025-05-17,Mercadolivre*Berveenx - Parcela 1/2,60.09
2025-05-17,Oxxo Martins,26.73
2025-05-17,Vila do Samba,50.00
2025-05-17,Vila do Samba,122.02
2025-05-17,Churras e Assados Pinh,92.40
2025-05-17,Ifd*Vr Restaurante,47.00
2025-05-15,Mp *Softroniccomercia - Parcela 1/2,33.40
2025-05-15,Pagamento recebido,-4500.00
2025-05-14,Google Youtube Music,21.90
2025-05-13,Uber* Trip,29.03
2025-05-12,Spinola Supermercado,95.61
2025-05-12,Casa de Carnes Ultram,172.60
2025-05-12,Ifd*Ifood Club,13.90
2025-05-12,Ifd*Cs Ferreira Burgue,64.00
2025-05-12,Oxxo Alberto Savoy,57.89
2025-05-12,Amazon Prime Aluguel,11.90
2025-05-11,Mariaisabelleite,24.00
2025-05-11,Inovapina,19.48
2025-05-11,Sn Bijoterias,128.00
2025-05-11,Fixpark,60.00
2025-05-11,Mariajanainabraga,8.00
2025-05-11,Piacevole,41.92
2025-05-10,Auto Posto Anhembi,230.27
2025-05-10,Mini Extra,42.07
2025-05-10,Mariaisabelleite,50.00
2025-05-10,Zig*Gaz Burning,182.90
2025-05-09,sem Parar,297.18
2025-05-09,Mercadolivre*Tudustor - Parcela 1/2,33.13
2025-05-08,Netflix.Com,59.90
2025-05-06,Mercadolivre*Azbuy,139.99
2025-05-05,Syscashtycket,15.00
2025-05-05,Tauste,81.75
2025-05-05,Syscashtycket,18.00
2025-05-05,Syscashtycket,40.00
2025-05-05,Ifd*52628155 Aislan Ap,66.90
2025-05-05,Syscashtycket,18.00
2025-05-05,Syscashtycket,14.00
2025-05-05,Drogaria Santa Barbara,28.00
2025-05-05,Syscashtycket,18.00
2025-05-05,Ricardohenriqueve,12.00
2025-05-05,Tauste,36.64
2025-05-04,Depois Bar,116.00
2025-05-04,Villapet,25.00
2025-05-04,Rede Papa,21.47
2025-05-04,Bambergexpress,18.00
2025-05-04,Barbearia Imperial,95.00
2025-05-04,Villapet,15.00
2025-05-04,sem Parar * Abastece,208.48
2025-05-02,Agua de Coco Horto,10.00
2025-05-02,Mercadolivre*Ebazarco - Parcela 1/10,600.02
2025-05-01,Wellhub Gympass Br Gym,89.90
2025-05-01,Pagamento recebido,-2000.00
2025-05-01,Pagamento recebido,-6567.70
2025-04-29,Amazon Music,21.90
2025-04-29,Google Disney Mobile,62.90
2025-04-29,Google Wm Max Llc,39.90
2025-04-29,Amazon Prime Aluguel,14.90
2025-04-28,Represa Km,14.00
2025-04-28,Yu-Ya Sushi,50.99
2025-04-28,Lojas G,18.99
2025-04-27,Wenceslau Comercio de,19.98
2025-04-27,Letts Burger And Bar,40.00
2025-04-27,Sheridans Restaurant,196.41
2025-04-27,Letts Road,50.00
2025-04-27,Letts Road,30.00
2025-04-27,Biergarten Usinamalte,75.00
2025-04-27,Autopostoe,236.53
2025-04-27,Postonovobatel,21.99
2025-04-27,Letts Road,50.00
2025-04-27,Sheridans Restaurant,50.01
2025-04-27,Drogarias Nissei,35.35
2025-04-27,Posto Mariental,8.50
2025-04-26,Emporio do Largo,38.00
2025-04-26,Quintal da Maria,50.00
2025-04-26,Josianemauricio,14.00
2025-04-26,Raia194,34.62
2025-04-26,Autopostoroseira,34.23
2025-04-26,Flaine Jane Amp Cia,24.60
2025-04-26,Dogdojoao,48.00
2025-04-26,Espaco Gastronomico,58.00
2025-04-26,Drogarias Nissei,47.81
2025-04-26,Esquadraodos,19.00
2025-04-26,Quintal da Maria,47.00
2025-04-26,Casa Bar,17.00
2025-04-26,Quintal da Maria,22.00
2025-04-24,Casas Bahia - Parcela 6/12,632.88
2025-04-24,Hs Esplanada Shopping - Parcela 2/2,109.99
2025-04-24,Riachuelo 167 Mg Bh Mi - Parcela 2/2,69.99
2025-04-24,Cea Sor 175 Ecpc - Parcela 2/2,79.99
2025-04-24,Havan Bal Camboriu Cen - Parcela 2/2,49.99
2025-04-24,Posto Irmao da Estrada,212.92
2025-04-24,Amazonas Leste - Parcela 5/10,360.00
2025-04-24,Lojas Renner Fl - Parcela 3/3,271.70
2025-04-24,Hub Fin*Magazineluiza - Parcela 10/10,369.90
2025-04-24,Lojas Renner Fl - Parcela 2/2,79.95
2025-04-24,Ln Tennis Station Cent - Parcela 2/6,96.66
2025-04-24,Mercadolivre*Ravennaf - Parcela 2/10,76.99
2025-04-24,Matias Dumke,129.00
2025-04-24,Decathlon - Parcela 3/3,229.99
2025-04-24,Amazonprimebr,19.90
2025-04-24,Panificadorasabor,24.50
2025-04-24,Lojas Renner Fl - Parcela 2/3,63.26
